Date,nikkei_close,nikkei_pct,nikkei_ma5,nikkei_ma15,nikkei_ma25,nikkei_kairi5,nikkei_kairi15,topix_close,topix_pct,topix_ma5,topix_ma15,topix_ma25,topix_kairi5,topix_kairi15,usd_jpy_close,usd_jpy_pct,usd_jpy_ma5,usd_jpy_ma15,usd_jpy_ma25,usd_jpy_kairi5,usd_jpy_kairi15,spy_close,spy_pct,spy_ma5,spy_ma15,spy_ma25,spy_kairi5,spy_kairi15,vix_close,vix_pct,vix_ma5,vix_ma15,vix_ma25,vix_kairi5,vix_kairi15,bank_close,bank_pct,bank_ma5,bank_ma15,bank_ma25,bank_kairi5,bank_kairi15,telecom_close,telecom_pct,telecom_ma5,telecom_ma15,telecom_ma25,telecom_kairi5,telecom_kairi15,electric_close,electric_pct,electric_ma5,electric_ma15,electric_ma25,electric_kairi5,electric_kairi15,auto_close,auto_pct,auto_ma5,auto_ma15,auto_ma25,auto_kairi5,auto_kairi15,trading_close,trading_pct,trading_ma5,trading_ma15,trading_ma25,trading_kairi5,trading_kairi15,machine_close,machine_pct,machine_ma5,machine_ma15,machine_ma25,machine_kairi5,machine_kairi15,ewj_close,ewj_pct,ewj_ma5,ewj_ma15,ewj_ma25,ewj_kairi5,ewj_kairi15
2023-08-20 15:00:00+00:00,31029.158203125,,,,,,,218.05308532714844,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.77330017089844,,,,,,,25676.52734375,,,,,,,29823.806640625,,,,,,,25355.50390625,,,,,,,128.7490234375,,,,,,,42517.6015625,,,,,,,,,,,,,
2023-08-20 23:00:00+00:00,31029.158203125,,,,,,,218.05308532714844,,,,,,,145.30499267578125,,,,,,,,,,,,,,,,,,,,,211.77330017089844,,,,,,,25676.52734375,,,,,,,29823.806640625,,,,,,,25355.50390625,,,,,,,128.7490234375,,,,,,,42517.6015625,,,,,,,,,,,,,
2023-08-21 04:00:00+00:00,31029.158203125,,,,,,,218.05308532714844,,,,,,,145.30499267578125,,,,,,,,,,,,,,,,,,,,,211.77330017089844,,,,,,,25676.52734375,,,,,,,29823.806640625,,,,,,,25355.50390625,,,,,,,128.7490234375,,,,,,,42517.6015625,,,,,,,,,,,,,
2023-08-21 05:00:00+00:00,31029.158203125,,,,,,,218.05308532714844,,,,,,,145.30499267578125,,,,,,,,,,,,,,,,,,,,,211.77330017089844,,,,,,,25676.52734375,,,,,,,29823.806640625,,,,,,,25355.50390625,,,,,,,128.7490234375,,,,,,,42517.6015625,,,,,,,,,,,,,
2023-08-21 15:00:00+00:00,31364.037109375,1.0792394175110909,,,,,,220.2608642578125,1.0124960751422885,,,,,,145.30499267578125,,,,,,,,,,,,,,,,,,,,,217.5309295654297,2.718770208465804,,,,,,25676.52734375,0.0,,,,,,30048.78125,0.7543457214765681,,,,,,25816.85546875,1.8195322175643236,,,,,,130.88853454589844,1.6617688051335344,,,,,,42901.66015625,0.9032931765575736,,,,,,,,,,,,
2023-08-21 23:00:00+00:00,31364.037109375,1.0792394175110909,,,,,,220.2608642578125,1.0124960751422885,,,,,,146.23800659179688,0.6421072661263905,,,,,,,,,,,,,,,,,,,,217.5309295654297,2.718770208465804,,,,,,25676.52734375,0.0,,,,,,30048.78125,0.7543457214765681,,,,,,25816.85546875,1.8195322175643236,,,,,,130.88853454589844,1.6617688051335344,,,,,,42901.66015625,0.9032931765575736,,,,,,,,,,,,
2023-08-22 04:00:00+00:00,31364.037109375,1.0792394175110909,,,,,,220.2608642578125,1.0124960751422885,,,,,,146.23800659179688,0.6421072661263905,,,,,,423.2594909667969,,,,,,,,,,,,,,217.5309295654297,2.718770208465804,,,,,,25676.52734375,0.0,,,,,,30048.78125,0.7543457214765681,,,,,,25816.85546875,1.8195322175643236,,,,,,130.88853454589844,1.6617688051335344,,,,,,42901.66015625,0.9032931765575736,,,,,,54.422325134277344,,,,,,
2023-08-22 05:00:00+00:00,31364.037109375,1.0792394175110909,,,,,,220.2608642578125,1.0124960751422885,,,,,,146.23800659179688,0.6421072661263905,,,,,,423.2594909667969,,,,,,,17.1299991607666,,,,,,,217.5309295654297,2.718770208465804,,,,,,25676.52734375,0.0,,,,,,30048.78125,0.7543457214765681,,,,,,25816.85546875,1.8195322175643236,,,,,,130.88853454589844,1.6617688051335344,,,,,,42901.66015625,0.9032931765575736,,,,,,54.422325134277344,,,,,,
2023-08-22 15:00:00+00:00,31517.126953125,0.48810630856013226,,,,,,221.48219299316406,0.5544919382146851,,,,,,146.23800659179688,0.6421072661263905,,,,,,423.2594909667969,,,,,,,17.1299991607666,,,,,,,218.34059143066406,0.37220539941233977,,,,,,25775.884765625,0.38695817602136806,,,,,,30215.06640625,0.553384028678372,,,,,,25816.85546875,0.0,,,,,,130.56666564941406,-0.2459106885114526,,,,,,43192.0390625,0.6768477144996954,,,,,,54.422325134277344,,,,,,
2023-08-22 23:00:00+00:00,31517.126953125,0.48810630856013226,,,,,,221.48219299316406,0.5544919382146851,,,,,,145.76300048828125,-0.324817135152522,,,,,,423.2594909667969,,,,,,,17.1299991607666,,,,,,,218.34059143066406,0.37220539941233977,,,,,,25775.884765625,0.38695817602136806,,,,,,30215.06640625,0.553384028678372,,,,,,25816.85546875,0.0,,,,,,130.56666564941406,-0.2459106885114526,,,,,,43192.0390625,0.6768477144996954,,,,,,54.422325134277344,,,,,,
